surface,rooms,baths,ville,quartier,log_surface,surface_per_room,bath_room_ratio,surface_x_rooms
146,3,3,8,55,4.990432586778736,36.5,0.75,438
84,2,2,28,11,4.442651256490317,28.0,0.6666666666666666,168
60,1,1,0,10,4.110873864173311,30.0,0.5,60
124,3,2,28,24,4.8283137373023015,31.0,0.5,372
92,2,1,10,7,4.532599493153256,30.666666666666668,0.3333333333333333,184
109,3,2,23,71,4.700480365792417,27.25,0.5,327
104,2,2,19,64,4.653960350157523,34.666666666666664,0.6666666666666666,208
113,3,2,1,83,4.736198448394496,28.25,0.5,339
72,2,1,8,75,4.290459441148391,24.0,0.3333333333333333,144
61,2,2,0,28,4.127134385045092,20.333333333333332,0.6666666666666666,122
189,3,2,8,24,5.247024072160486,47.25,0.5,567
64,2,1,16,38,4.174387269895637,21.333333333333332,0.3333333333333333,128
70,3,2,8,11,4.2626798770413155,17.5,0.5,210
85,2,1,25,83,4.454347296253507,28.333333333333332,0.3333333333333333,170
64,2,1,8,37,4.174387269895637,21.333333333333332,0.3333333333333333,128
140,3,2,5,87,4.948759890378168,35.0,0.5,420
115,3,2,5,87,4.7535901911063645,28.75,0.5,345
64,2,1,16,11,4.174387269895637,21.333333333333332,0.3333333333333333,128
99,1,2,0,79,4.605170185988092,49.5,1.0,99
121,3,2,8,46,4.804021044733257,30.25,0.5,363
73,2,1,29,77,4.30406509320417,24.333333333333332,0.3333333333333333,146
80,2,2,16,50,4.394449154672439,26.666666666666668,0.6666666666666666,160
140,3,1,28,2,4.948759890378168,35.0,0.25,420
74,2,1,28,81,4.31748811353631,24.666666666666668,0.3333333333333333,148
50,1,1,27,83,3.9318256327243257,25.0,0.5,50
51,1,1,16,32,3.9512437185814275,25.5,0.5,51
118,3,2,8,75,4.77912349311153,29.5,0.5,354
86,2,1,28,11,4.465908118654584,28.666666666666668,0.3333333333333333,172
69,3,1,8,14,4.248495242049359,17.25,0.25,207
250,5,3,8,17,5.5254529391317835,41.666666666666664,0.5,1250
111,2,2,16,32,4.718498871295094,37.0,0.6666666666666666,222
73,3,2,8,60,4.30406509320417,18.25,0.5,219
132,3,3,8,65,4.890349128221754,33.0,0.75,396
117,3,3,16,32,4.770684624465665,29.25,0.75,351
117,2,1,26,83,4.770684624465665,39.0,0.3333333333333333,234
61,1,1,16,32,4.127134385045092,30.5,0.5,61
